date,temp,hum,temp1
26, 12.5, 72.9, 16.4
27, 15.0, 54.1, 17.8
28, 12.4, 43.0, 18
29, 16.1, 40.4, 18
30, 14.7, 50.6, 16.7
31, 11.6, 64.3, 17.3
32, 10.3, 75.1, 17.5
33, 10.2, 77.6, 17.9
34, 10.7, 73.8, 17.4
35, 11.4, 80.4, 17.1
36, 9.5, 91.5, 16.5
37, 10.9, 50.7, 16.2
38, 9.4, 68.8, 17.8
39, 8.3, 92.1, 17.3
40, 9.0, 88.0, 18
41, 7.9, 81.3, 18
42, 8.3, 79.4, 16.8
43, 8.2, 81.4, 16.5
44, 10.0, 25.7, 16.2
45, 9.2, 37.2, 16.4
46, 6.2, 59.8, 16.8
47, 6.2, 64.1, 17.6
48, 6.7, 67.2, 17.7
49, 6.8, 73.1, 17.9
50, 8.9, 45.1, 18.1
51, 6.8, 48.1, 17.3
52, 7.0, 79.5, 17.2
53, 8.7, 81.5, 18
54, 9.6, 78.6, 18
55, 8.6, 92.0, 17.9
56, 8.1, 23.2, 16.8
