date,temp,hum,temp1
01, 14.7, 83.1, 18
02, 15.6, 79.3, 18.3
03, 15.5, 82.3, 17.2
04, 14.5, 78.3, 17.7
05, 15.3, 79.6, 16.2
06, 16.2, 47.5, 16.7
07, 14.5, 43.9, 16.8
08, 14.2, 58.4, 17.4
09, 13.7, 65.0, 17.6
10, 13.8, 69.5, 17.8
11, 13.9, 77.1, 17.3
12, 14.7, 76.5, 16.9
13, 14.7, 78.4, 18.1
14, 15.0, 80.8, 18.5
15, 15.5, 78.6, 18.7
16, 15.2, 76.9, 18.9
17, 15.0, 72.1, 18.3
18, 14.1, 73.2, 17.9
19, 13.8, 76.4, 17.8
20, 13.4, 81.1, 17.4
21, 14.1, 81.8, 17.2
22, 14.9, 65.0, 17.1
23, 15.8, 28.7, 16.4
24, 14.2, 49.2, 17.8
25, 13.4, 63.3, 17.5
26, 12.5, 72.9, 17.4
27, 15.0, 54.1, 18
28, 12.4, 43.0, 18
29, 16.1, 40.4, 17.8
30, 14.7, 50.6, 17.2
31, 11.6, 64.3, 17.1
32, 10.3, 75.1, 16.7
33, 10.2, 77.6, 17.4
34, 10.7, 73.8, 16.9
35, 11.4, 80.4, 18
36, 9.5, 91.5, 16.9
37, 10.9, 50.7, 16.8
38, 9.4, 68.8 , 17.5
39, 8.3, 92.1, 17.1
40, 9.0, 88.0, 17.9
41, 7.9, 81.3, 18
42, 8.3, 79.4, 17.8
43, 8.2, 81.4, 16.4
44, 10.0, 25.7, 17.4
45, 9.2, 37.2, 18.1
46, 6.2, 59.8, 18.2
47, 6.2, 64.1, 18.3
48, 6.7, 67.2, 18.9
49, 6.8, 73.1, 18.6
50, 8.9, 45.1, 18.5
51, 6.8, 48.1, 18.5
52, 7.0, 79.5, 18.4
53, 8.7, 81.5, 18.2
54, 9.6, 78.6, 18
55, 8.6, 92.0, 18
56, 8.1, 23.2, 17.9
